"x"
"GAS6"
"PARK7"
"HNRNPA1"
"TARDBP"
"KHDRBS1"
"DDX39B"
"ZPR1"
"NPM1"
"XBP1"
"PTTG1IP"
"HSPA9"
"PPP1CC"
"RAN"
"RPS15"
"AHCYL1"
"FLNA"
"RPL23"
"TRIM28"
"IPO7"
"RBM4"
"TXNIP"
"JUP"
"ANP32A"
"KPNA2"
"CSE1L"
"CDH1"
"SSB"
"EIF4A3"
"ANP32B"
"PIK3R2"
"EIF4E"
"SQSTM1"
"NFKBIA"
"NCBP2"
"PABPN1"
"RAE1"
"DDX39A"
"PHB2"
"PPP1R12A"
"MBTPS1"
"IER3"
"PPP1R10"
"RANBP2"
"ELAVL1"
"TPR"
"TP53"
"ADAR"
"SMG7"
"KPNA1"
"NUP153"
"NUP62"
"NUP214"
"NUP133"
"EP300"
"CDKN1A"
"PKD1"
"NUTF2"
"IFI27"
"DHX9"
"PPP3CA"
"CPSF6"
"RANBP1"
"MAPK14"
"CHTOP"
"DDX19A"
"RBM15B"
"PKIG"
"SP100"
"SRSF3"
"NUP88"
"HCLS1"
"NUP98"
"FAM53B"
"CDK1"
"ATXN1"
"LMNA"
"PSEN1"
"MED1"
"SPG11"
"UPF2"
"IPO13"
"FMR1"
"E2F3"
"PPM1A"
"THOC1"
"STK3"
"PPP3R1"
"MMP12"
"PKIA"
"HHEX"
"PTGS2"
"BCL3"
"MX2"
"POM121"
"EPM2A"
"HNRNPA2B1"
"BARD1"
"SMAD3"
"ATF2"
"PTPN14"
"ZC3H11A"
"JAK2"
"SIX2"
"HYAL2"
"CDKN2A"
"AKT1"
"NFATC3"
"SNUPN"
"TNPO1"
"SEC13"
"CASC3"
"MALT1"
"UBE2I"
"SUMO1"
"XPO1"
"SUPT6H"
"TXN"
"UBR5"
"NXF1"
"KPNB1"
"RBM10"
"STAT3"
"CDKN1B"
"IPO4"
"SFN"
"THOC5"
"HTATIP2"
"EMD"
"NCBP1"
"NXT2"
"PML"
"CBLB"
"ING1"
"IL33"
"FRAT2"
"PTPN11"
"GSK3B"
"MAGOH"
"MAGOHB"
"HSP90AA1"
"EIF6"
"YWHAE"
"RGPD3"
"RGPD4"
"RGPD5"
"RGPD6"
"RGPD8"
"STK4"
"UPF1"
"MDFIC"
"IPO5"
"XPO6"
"WNK1"
"POLDIP3"
"KPNA6"
"XPOT"
"POM121C"
"PIK3R1"
"NUP205"
"MCM3AP"
"NUP210"
"TNPO3"
"YTHDC1"
"SETD2"
"DESI1"
"SMURF1"
"NF1"
"MDN1"
"NUP160"
"CALR"
"THOC2"
"NEDD4"
"RANBP6"
"KPNA4"
"NUP50"
"RBM8A"
"NEAT1"
"CHP1"
"AHCTF1"
"TRAF3IP2"
"TSC2"
"HDAC3"
"POM121L2"
"IPO9"
"BAG3"
"NUP85"
"FAM53C"
