"x"
"CCL5"
"NONO"
"APP"
"MATR3"
"YWHAZ"
"GRN"
"HMGB1"
"XRCC6"
"HSPA1A"
"HSPA1B"
"HSPD1"
"LAMP2"
"PPT1"
"TAX1BP1"
"SERPING1"
"RBM14"
"PJA2"
"NFE2L2"
"PUM1"
"DDX3X"
"MAPKAPK2"
"SQSTM1"
"PUM2"
"NFKBIA"
"LAMP1"
"DDX39A"
"SFPQ"
"IRAK1"
"PHB2"
"CD14"
"RELA"
"ADAR"
"GDI1"
"BIRC2"
"SEC14L1"
"RIOK3"
"CREBBP"
"EP300"
"CRK"
"UBE2K"
"DHX9"
"PLSCR1"
"ATG5"
"IRF1"
"FADD"
"IRF3"
"LYN"
"TNFAIP3"
"RPS19"
"PTPN1"
"GBP2"
"HEXIM1"
"CTSS"
"S100A8"
"CAV1"
"AP3B1"
"INPP5D"
"AP1G1"
"OTUD4"
"MED1"
"PPP6C"
"S100A9"
"CPT1A"
"RPS6KA3"
"TRIM32"
"RAB11FIP2"
"NMI"
"PCBP2"
"TYROBP"
"EIF2AK2"
"FOSL1"
"SAMHD1"
"PDPK1"
"IKBKE"
"MMP12"
"PLCG2"
"TRIM21"
"CARD8"
"MNDA"
"STAT5B"
"TRIL"
"STAT2"
"POLR3F"
"ESR1"
"BCL10"
"LRP8"
"ISG15"
"OAS1"
"RASGRP1"
"OASL"
"MAP2K6"
"EREG"
"MICA"
"DNAJA3"
"WNT5A"
"TLR3"
"IFI16"
"AIM2"
"XIAP"
"CSNK1A1"
"LY96"
"DRD2"
"POLR3G"
"PTPN6"
"KAT5"
"MAP3K7"
"AKT1"
"TNIP1"
"OGT"
"PQBP1"
"HCK"
"IRF7"
"XRCC5"
"PARP1"
"PPP2CA"
"HSPA8"
"PRKDC"
"FLOT1"
"HMGB2"
"PAK2"
"C1QBP"
"BECN1"
"CADM1"
"TSPAN6"
"MYD88"
"PIM1"
"SFN"
"METTL3"
"IKBKB"
"GPS2"
"POLR3C"
"EIF4E2"
"TICAM2"
"IFI35"
"AURKB"
"USP15"
"CEACAM1"
"CHUK"
"ERAP1"
"SERPINB9"
"ITCH"
"CASP6"
"PTPN11"
"CASP1"
"FYN"
"BANF1"
"TLR5"
"TLR1"
"HSP90AA1"
"YWHAE"
"SERPINB4"
"BIRC3"
"TRIM5"
"RTN4"
"IPO5"
"LSM14A"
"ANKRD17"
"PIK3R1"
"GIGYF2"
"NEK7"
"DTX4"
"RNF115"
"GRAMD4"
"ZDHHC18"
"APOE"
"ATG12"
"ZC3HAV1"
"PTPN2"
"CYLD"
"CASP8"
"MFHAS1"
"F2RL1"
"SMPDL3A"
"IRAK3"
"GRB2"
"CFH"
"DUSP10"
"TTLL12"
"BRCC3"
"CR1"
"A2M"
"NPLOC4"
"YTHDF2"
"DDX41"
"RBM47"
"ZDHHC3"
"APPL1"
"APPL2"
"NAGK"
"CNOT7"
"PELI1"
"LGR4"
"PSPC1"
"OAS3"
