"Gene"
"ADAMDEC1"
"ADGRE1"
"AKAP8"
"ANG"
"APOA1"
"APOE"
"ATAD3A"
"ATP6V0A2"
"BCL2"
"BIRC3"
"BPI"
"BPIFA1"
"C1QA"
"C6"
"C7"
"CADM1"
"CARD10"
"CCDC92"
"CCL14"
"CCL15"
"CCL16"
"CCL19"
"CCL20"
"CCL3L3"
"CCL4L2"
"CCR2"
"CCR3"
"CD2"
"CD274"
"CD300E"
"CD300LF"
"CD4"
"CD40"
"CD40LG"
"CD74"
"CD80"
"CD8B2"
"CEACAM20"
"CEBPB"
"CEBPG"
"CFI"
"CGAS"
"CHGA"
"CHIA"
"CLEC4M"
"CMKLR1"
"CNIH1"
"CORO1A"
"CPT1A"
"CRACR2A"
"CTSC"
"CXCL10"
"CXCL11"
"CXCL3"
"CXCR2"
"CXCR4"
"CXCR5"
"DAB2IP"
"DBNL"
"DCST1"
"DCSTAMP"
"DDX60"
"DEFA1"
"DEFB104A"
"DEFB105A"
"DEFB110"
"DEFB114"
"DEFB123"
"DEFB4B"
"DHX15"
"F12"
"FADD"
"FBXO9"
"FCMR"
"FKBP1A"
"FYB1"
"G3BP2"
"GALP"
"GBP3"
"GBP4"
"GBP5"
"GBP7"
"GEM"
"GGT1"
"GPR151"
"GPR31"
"GZMA"
"H2BC21"
"H2BC7"
"HERC5"
"HMSD"
"HPX"
"HRG"
"IDO2"
"IFI16"
"IFIH1"
"IFNA13"
"IFNA14"
"IFNA2"
"IFNA4"
"IFNE"
"IFNL4"
"IFNLR1"
"IGF1R"
"IGHE"
"IGHG4"
"IGKJ1"
"IGLL5"
"IL13RA2"
"IL18"
"IL18BP"
"IL1A"
"IL1RN"
"IL2"
"IL21"
"IL27"
"IL27RA"
"IL4R"
"IL6ST"
"IL7"
"IL9R"
"IRAK1"
"IRAK1BP1"
"IRF8"
"IRF9"
"ITGB7"
"KCNN4"
"KIR2DL4"
"KIR3DL1"
"KLRC1"
"LAG3"
"LAT"
"LCN2"
"LGALS9"
"LIF"
"LILRB4"
"LTB"
"LTF"
"LY75"
"LY86"
"LY96"
"LYAR"
"MAD2L2"
"MAP3K7"
"MARCHF1"
"MCOLN1"
"MEF2C"
"MICA"
"MNDA"
"MS4A1"
"MUL1"
"MX2"
"MYSM1"
"N4BP3"
"NECTIN2"
"NEURL3"
"NFE2L2"
"NFKB1"
"NLRC4"
"NLRP1"
"NOD2"
"NOS2"
"OPRD1"
"ORM2"
"OTUD5"
"OTUD7B"
"PECAM1"
"PF4"
"PF4V1"
"PHB2"
"PIBF1"
"PIK3R6"
"PJA2"
"PKHD1L1"
"PLA2G5"
"PLAGL1"
"PLCG2"
"POLR3B"
"PPARG"
"PRKRA"
"PSEN1"
"PTK2B"
"PXDN"
"RAET1L"
"RAPGEF4"
"RASGRP4"
"RB1CC1"
"RBPJ"
"RELA"
"RIOK3"
"RNASE8"
"RO60"
"RPSA"
"SAMSN1"
"SARM1"
"SASH3"
"SCNN1B"
"SERINC3"
"SERINC5"
"SH2D1B"
"SLAMF6"
"SLAMF8"
"SLC15A4"
"SMAD6"
"SMAD7"
"SMCR8"
"SPHK2"
"SPINK5"
"SPN"
"THEMIS2"
"TICAM2"
"TIFA"
"TLR2"
"TLR3"
"TLR4"
"TMED1"
"TMEM33"
"TMEM43"
"TMIGD3"
"TNFAIP3"
"TNFRSF13C"
"TNFRSF14"
"TNFSF11"
"TNFSF18"
"TRAJ42"
"TRAV10"
"TRAV2"
"TRAV21"
"TRAV30"
"TRAV5"
"TRAV6"
"TRBV19"
"TRDJ1"
"TREML1"
"TREX1"
"TRGC1"
"TRGV11"
"TRIM31"
"TRIM4"
"TRIM44"
"TRIM51"
"TRIM60"
"TRIM61"
"TRIM7"
"TRIML2"
"TSKU"
"TTLL1"
"UBA7"
"UBE2W"
"WFDC12"
"WFDC2"
"ZBTB26"
"ZBTB45"
"ZC3H12A"
"ZCCHC3"
"ZDHHC11"
"ZNF131"
"ZNF134"
"ADAM8"
"ADSS2"
"AKAP1"
"APOBEC3A"
"APOBEC3F"
"APOL1"
"AQP3"
"ARG1"
"ATG12"
"ATG5"
"AURKB"
"BACH2"
"BCL6"
"BCL6B"
"BLNK"
"BMP6"
"BMX"
"BSPRY"
"C3"
"C9orf72"
"CAMP"
"CASP8"
"CCL11"
"CCL18"
"CCL3"
"CCL7"
"CCR10"
"CCR5"
"CCR7"
"CCRL2"
"CD160"
"CD24"
"CD247"
"CD300H"
"CD33"
"CD3D"
"CD6"
"CD81"
"CD83"
"CD84"
"CD96"
"CEACAM8"
"CHUK"
"CLEC17A"
"CLEC4E"
"CLEC6A"
"CLU"
"CRTAM"
"CSF1R"
"CSF2RB"
"CTNNBL1"
"CTSW"
"CX3CR1"
"CXCL5"
"DDX3X"
"DEFB105B"
"DEFB131B"
"DEFB132"
"DEFB134"
"DHX58"
"DHX9"
"DMBT1"
"DRD2"
"EBI3"
"ECSIT"
"ENDOU"
"EPG5"
"EPHB2"
"ETS1"
"EXO1"
"FAU"
"FCGR2A"
"FCGR3A"
"FCRL3"
"FER"
"FPR2"
"FUT7"
"GAPDH"
"GBF1"
"GBP2"
"GNLY"
"GPR65"
"GSDMD"
"GTPBP1"
"H2BC11"
"H2BC4"
"H2BC8"
"HCFC2"
"HCST"
"HMGB3"
"HMGN2"
"IDO1"
"IFI44"
"IFNA21"
"IFNA8"
"IGHA1"
"IGLC3"
"IGSF6"
"IL13"
"IL17B"
"IL1R1"
"IL1RAP"
"IL23A"
"IL24"
"IL26"
"IL2RB"
"IL2RG"
"IL31"
"IL31RA"
"IL32"
"IL36A"
"IL37"
"IL5"
"IL6R"
"INPP5D"
"IRAK4"
"IRF2"
"IRF3"
"IRF4"
"IRGM"
"ISG15"
"JAK3"
"KIR2DL3"
"KIR2DS4"
"KIR3DL2"
"KLHL22"
"KLRF1"
"LAIR2"
"LAX1"
"LILRB2"
"MAP3K5"
"MARCHF8"
"MATR3"
"MCM3AP"
"MCOLN2"
"MPEG1"
"N4BP1"
"NCF2"
"NCR3"
"NLRP4"
"NLRX1"
"NRROS"
"OAS3"
"OASL"
"OSM"
"PATZ1"
"PCBP2"
"PDCD1"
"PDIA3"
"PELI3"
"PIK3CG"
"PIK3R3"
"PKP3"
"PLD4"
"POLR3C"
"POLR3F"
"POLR3H"
"POU2F2"
"PPP6C"
"PRKCD"
"PRKCE"
"PSMA1"
"PSTPIP1"
"PTGDR2"
"PTGER4"
"PTMS"
"RAG1"
"RAG2"
"RAP1GAP2"
"RBM14"
"REG3G"
"REL"
"RFPL4B"
"RGS1"
"RNASE3"
"RNASET2"
"RNF135"
"RNF170"
"S100A12"
"S100A9"
"SCART1"
"SEMA4D"
"SEMG1"
"SENP7"
